fname,sentence,I-ORG
pr10119_77,89,"Det, radikale, Venstre"
pr10119_77,91,Folkekirken
pr10120_77,4,"Göteborg, -, Posten"
pr10122_77,119,EU
pr10123_77,62,Europa
pr10123_77,63,EU
pr10125_77,40,Facebook
pr10125_77,44,Facebook
pr10134_77,41,UNICEF
pr10135_77,70,vellugtende
pr10137_77,37,DR1
pr10142_77,9,"TV2, News"
pr10144_77,10,Big
pr10145_77,16,"Københavns, Universitet"
pr10145_77,21,"Københavns, Universitet"
pr10146_77,0,"Omar, Abdel, Hamid, El, -, Hussein"
pr10146_77,4,jødiske
pr10147_77,20,Berlingske
pr10149_77,1,Ekstrabladet
pr10149_77,2,Socialdemokraterne
pr10149_77,2,"Aksel, Larsens, socialistiske"
pr10150_77,42,sportsklubben
pr10153_77,67,Romerne
pr10155_77,0,"Testrup, Højskole"
pr10160_77,66,SKAT
pr10160_77,74,Nationalbanken
pr10161_77,2,HC
pr10161_77,64,HC
pr10163_77,40,superliga
pr10163_77,41,nordiske
pr10163_77,44,"Kristeligt, Dagblad"
pr10164_77,96,Ham
pr10165_77,62,konkurrenten
pr10165_77,90,harmony
pr10167_77,41,superliga
pr10167_77,42,nordiske
pr10169_77,50,Google
pr10173_77,1,"Dagbladet, Information"
pr10175_77,2,Noma
pr10175_77,27,Brugsen
pr10176_77,10,Gestapo
pr10176_77,24,Rigsarkivet
pr10179_77,0,Testrup
pr10180_77,60,Radio
pr10183_77,0,DR
pr10184_77,21,Børn
pr10185_77,50,EU
pr10186_77,41,Orlando
pr10189_77,134,Ham
pr10192_77,9,Sl
pr10193_77,5,"russiske, præsident"
pr10194_77,22,of
pr10194_77,34,lutherske
pr10196_77,111,katolske
pr10197_77,116,Ham
pr10200_77,27,"hollandske, landshold"
pr10201_77,1,Stars
pr10201_77,14,Force
pr10201_77,16,"Star, Wars"
pr10201_77,20,Force
pr10201_77,73,IS
pr10201_77,112,"romerske, senat"
pr10204_77,38,Folkekirkens
pr10204_77,43,Folkekirkens
pr10204_77,68,Springer
pr10207_77,3,Ramasjang
pr10207_77,19,"Berlingske, Tidende"
pr10207_77,21,"Berlingske, Tidende"
pr10210_77,6,Trump
pr10210_77,9,NATO
pr10210_77,23,Matador
pr10210_77,43,Rigshospitalets
pr10218_79,27,pines
pr10229_79,41,Sl
pr10232_79,50,Bilka
pr10239_79,27,"Det, Gamle, Testamente"
pr10243_79,37,Hellig
pr10250_79,31,"Det, Gamle, Testamente"
pr10251_79,11,"Fætter, BR"
pr10251_79,46,DR
pr10253_79,44,Ham
pr10255_79,8,EU
pr10259_79,19,Dds
pr10267_79,53,Testamente
pr10271_79,29,Grand
pr10271_79,29,Grand
pr10272_79,24,Ham
pr10275_79,62,landsholdet
pr10290_79,27,Islamisk
pr10292_79,9,Københavns
pr10299_79,17,Folkekirken
pr10302_79,27,Ham
pr10303_79,27,cirkusrevyen
pr10309_79,1,"Kristeligt, Dagblad"
pr10311_79,0,Tidende
pr10314_79,9,Spar
pr10323_79,8,Folkekirkens
pr10331_79,48,Brugsen
pr10333_79,55,Testamente
pr10336_79,30,"Kristelig, Dagblad"
pr10343_79,9,damerne
pr10346_79,31,Islamisk
pr10350_79,3,Folkekirken
pr10350_79,14,Ham
pr10350_79,29,udstod
pr10352_79,7,sl
pr10360_79,17,Mission
pr10361_80,7,Christiansborg
pr10365_80,0,"World, Trade, Center"
pr10365_80,22,"Det, Gamle, Testamente"
pr10365_80,25,Det
pr10365_80,25,Testamente
pr10367_80,11,Inderne
pr10368_80,35,romerske
pr10369_80,5,bornholmer
pr10370_80,9,ak
pr10374_80,2,SS
pr10374_80,11,Schindlers
pr10376_80,46,Folkekirkens
pr10378_80,12,Brugsen
pr10378_80,12,Føtex
pr10382_80,0,Tivoli
pr10382_80,1,Tivoli
pr10382_80,1,Land
pr10382_80,35,Tivoli
pr10385_80,47,Ham
pr10387_80,14,"Tredje, Riges"
pr10391_80,3,TH
pr10391_80,11,Danmarks
pr10391_80,13,DR
pr10391_80,29,DR
pr10396_80,1,BSV
pr10396_80,5,Folkekirken
pr10398_80,16,Beder
pr10398_80,47,Reds
pr10398_80,48,Reds
pr10401_80,19,"luthersk, evangeliske"
pr10402_80,1,"Folkets, Palads"
pr10404_80,16,romerske
pr10405_80,39,"Arbejdernes, Byggeforening"
pr10407_80,18,Gestapo
pr10407_80,18,Gestapo
pr10407_80,20,Gestapo
pr10407_80,20,Gestapo
pr10410_80,5,Nationalbanken
pr10412_80,0,"britiske, underhus"
pr10412_80,52,BMW
pr10415_80,0,kz
pr10416_80,36,Folkekirken
pr10420_80,9,HC
pr10420_80,11,HC
pr10424_80,1,Islamisk
pr10424_80,1,Islamisk
pr10424_80,2,Islamisk
pr10424_80,40,Islamisk
pr10425_80,15,folketinget
pr10425_80,18,Folketinget
pr10425_80,21,folketinget
pr10427_80,34,Ham
pr10428_80,0,"Indre, Missions"
pr10429_80,12,Det
pr10431_80,1,"Herning, Folkeblad"
pr10431_80,4,"Herning, Folkeblad"
pr10431_80,41,"Herning, Folkeblad"
pr10433_80,8,"British, Museum"
pr10436_80,34,Ham
pr10439_80,0,Danmarks
pr10439_80,4,østrigske
pr10440_80,0,kz
pr10444_80,11,Islamisk
pr10444_80,13,"World, Trade, Center"
pr10444_80,19,"World, Trade, Center"
pr10446_80,19,"luthersk, evangeliske"
pr10447_80,10,"britiske, underhus"
pr10447_80,22,Arbejdstilsynet
pr10449_80,8,katolske
pr10451_80,10,"FC, Midtjylland"
pr10451_80,10,AaB
pr10451_80,11,"FC, Midtjylland"
pr10451_80,11,AaB
pr10452_80,45,Kristne
pr10453_80,7,Islamisk
pr10453_80,7,Islamisk
pr10455_80,6,Davids
pr10458_80,2,Lego
pr10458_80,4,Lego
pr10458_80,6,Lego
pr10458_80,6,Lego
pr10458_80,53,Lego
pr10458_80,56,Lego
pr10460_80,8,Silkeborg
pr10460_80,8,"Silkeborg, Højskole"
pr10464_80,23,Indre
pr10464_80,25,"Indre, Mission"
pr10464_80,25,Socialdemokratiet
pr10464_80,26,"Indre, Mission"
pr10464_80,26,Socialdemokratiet
pr10464_80,34,lutherske
pr10467_80,54,Seven
pr10470_80,0,Islamisk
pr10470_80,15,Islamisk
pr10470_80,36,"Islamisk, Stats"
pr10471_80,49,ak
pr10472_80,0,svejtsiske
pr10472_80,37,TV3
pr10473_80,6,Holocaust
pr10473_80,52,Islamisk
pr10473_80,57,Blå
pr10473_80,58,Mission
pr10473_80,58,Islamisk
pr10475_80,34,Føtex
pr10475_80,36,Mobile
pr10475_80,40,Steinway
pr10475_80,40,Nordea
pr10478_80,13,"Kongeriget, Danmarks"
pr10478_80,22,Kongerigets
pr10478_80,33,Det
pr10478_80,33,Testamente
pr10478_80,44,"Kongeriget, Danmarks"
pr10482_80,29,Folkekirkens
pr10485_80,15,EU
pr10486_80,46,"Dansk, Folkeparti"
pr10488_4,28,comfort
pr10488_4,37,Facebook
pr10488_4,45,NY
pr10497_9,16,Ham
pr10498_10,24,Stefans
pr10501_10,44,pines
pr10504_13,84,Facebook
pr10505_13,34,VIP
pr10505_13,63,VIP
pr10508_16,18,Almindelig
pr10508_16,18,Skandinavisk
pr10508_16,18,Kirkeministeriet
pr10509_16,3,"Engelske, Kirke"
pr10509_16,4,"Engelske, Kirkes"
pr10509_16,4,Anglikanske
pr10511_19,2,-
pr10526_17,18,Ham
pr10526_17,29,Ham
pr10528_17,39,Ham
pr10530_18,25,Paradise
pr10530_18,28,Føtex
pr10530_18,59,Føtex
pr10531_18,80,efterklang
pr10531_18,83,efterklang
pr10534_31,2,katolske
pr10534_31,5,katolske
pr10536_31,56,Hr
pr10537_33,0,"Christian, Quarter, Road"
pr10538_33,79,GT
pr10538_33,84,GT
pr10538_33,115,"United, Airlines"
pr10540_33,8,"Røde, Kors"
pr10542_33,78,hvedekorn
pr10542_33,92,Silvan
pr10542_33,115,evangelist
pr10542_33,117,evangelist
pr10542_33,135,evangelist
pr10543_34,7,"Det, Gamle"
pr10544_34,7,"Det, Gamle"
pr10546_34,7,"Det, Gamle, Testamente"
pr10546_34,21,Gamle
pr10547_34,7,"Det, Gamle"
pr10548_34,7,"Det, Gamle, Testamente"
pr10548_34,21,Gamle
pr10549_34,36,Himmelfart
pr10549_34,64,Kristi
pr10550_34,16,drejers
pr10552_34,20,Salmernes
pr10552_34,20,"Det, Gamle"
pr10552_34,20,Sl
pr10552_34,50,Fremad
pr10553_34,28,Salmernes
pr10553_34,28,"Det, Gamle"
pr10553_34,28,Sl
pr10553_34,57,Fremad
pr10554_34,21,Salmernes
pr10554_34,21,"Det, Gamle"
pr10554_34,21,Sl
pr10554_34,53,Fremad
pr10555_34,20,Salmernes
pr10555_34,20,"Det, Gamle"
pr10555_34,20,Sl
pr10555_34,50,Fremad
pr10556_34,20,Salmernes
pr10556_34,20,"Det, Gamle"
pr10556_34,20,Sl
pr10556_34,50,Fremad
pr10557_34,29,Salmernes
pr10557_34,29,"Det, Gamle"
pr10557_34,29,Sl
pr10557_34,59,Fremad
pr10558_34,0,Politiken
pr10558_34,42,Facebook
pr10558_34,55,Ham
pr10558_34,56,Ham
pr10560_34,41,Kia
pr10561_34,7,Selskab
pr10561_34,7,Københavns
pr10561_34,9,Ornitologisk
pr10561_34,10,Selskab
pr10578_36,50,"Røde, Kors"
pr10578_36,55,PS3
pr10581_36,59,FIFA
pr10582_36,22,blæsten
pr10584_36,7,Bilka
pr10586_37,11,Nephew
pr10586_37,15,Facebook
pr10587_37,5,Facebook
pr10587_37,13,Facebook
pr10589_37,7,Det
pr10589_37,7,Testamente
pr10589_37,15,"Det, Gamle, Testamente"
pr10591_37,2,"Odense, Teater"
pr10592_37,4,"Odense, Teater"
pr10595_37,3,Facebook
pr10596_37,3,Facebook
pr10600_37,56,Sl
pr10602_37,23,Gestapo
pr10602_37,24,KZ
pr10603_38,36,katolske
pr10603_38,71,katolske
pr10603_38,76,lutherske
pr10606_38,2,Det
pr10606_38,26,lego
pr10606_38,27,lego
pr10606_38,40,Det
pr10606_38,56,lego
pr10608_39,3,Matador
pr10608_39,19,Matador
pr10608_39,20,Matador
pr10612_39,0,Det
pr10612_39,0,Testamente
pr10612_39,13,P4
pr10613_39,1,Villekulla
pr10614_39,5,BT
pr10617_40,14,"HC, Andersen"
pr10617_40,16,HC
pr10617_40,19,HC
pr10618_40,3,Ham
pr10619_40,17,Danmarks
pr10619_40,22,Ham
pr10620_40,4,idrætsefterskole
pr10621_40,1,Nazi
pr10622_40,0,–
pr10624_40,18,Ham
pr10626_40,2,Apple
pr10627_40,20,Ham
pr10628_40,2,Beatles
pr10628_40,4,Peace
pr10628_40,8,Beatles
pr10632_41,41,Samsung
pr10632_41,42,Google
pr10633_41,52,Ham
pr10637_41,5,GT
pr10637_41,14,GT
pr10640_42,1,"Kristeligt, Dagblad"
pr10644_42,45,abba
pr10644_42,101,Det
pr10646_42,12,FDF
pr10646_42,14,FDF
pr10646_42,18,"Københavns, universitet"
pr10646_42,21,Spejder
pr10646_42,23,FDF
pr10646_42,28,FDF
pr10647_42,44,nationernes
pr10656_50,56,Gamle
pr10656_50,57,Det
pr10657_50,5,ak
pr10659_50,11,Det
pr10659_50,11,Testamente
pr10661_50,17,Testamente
pr10662_50,13,"Hellige, Land"
pr10663_50,33,DR
pr10664_50,3,"Den, Danske"
pr10664_50,5,Folkekirken
pr10666_50,4,"Gamle, Testamente"
pr10666_50,14,Folkeparti
pr10668_50,7,katolske
pr10674_50,3,"Det, Gamle, Testamente"
pr10681_50,12,"Gamle, Testamente"
pr10683_50,17,Testamente
pr10695_50,0,Giro
pr10701_50,8,ak
pr10701_50,17,Det
pr10701_50,17,Testamente
pr10705_50,29,Det
pr10707_50,14,Det
pr10708_50,5,Gamle
pr10708_50,12,Det
pr10711_50,3,ak
pr10712_50,0,Det
pr10712_50,0,Testamente
pr10712_50,1,folketinget
pr10712_50,28,folketinget
pr10716_50,1,"Det, Radikale, Venstre"
pr10716_50,1,Facebook
pr10718_50,4,Lille
pr10720_50,1,Det
pr10720_50,1,Testamente
pr10722_55,31,blæsten
pr10725_55,32,Danmarks
pr10730_56,9,Det
pr10730_56,31,"Det, Gamle"
pr10730_56,48,Styrker
pr10730_56,73,Liv
pr10733_56,5,Folkekirken
pr10733_56,12,GT
pr10733_56,19,lutherske
pr10734_56,19,ak
pr10734_56,30,Det
pr10734_56,30,Testamente
pr10734_56,36,Liv
pr10734_56,51,Liv
pr10736_56,18,Ham
pr10737_56,36,Ham
pr10738_56,16,Ham
pr10738_56,31,Påske
pr10739_50,48,Levende
pr10739_50,77,Ham
pr10742_56,13,GT
pr10742_56,43,Ham
pr10742_56,45,Liv
pr10743_56,1,Ham
pr10744_56,10,ATV
pr10747_56,3,Ham
pr10747_56,43,Ham
pr10747_56,43,Ham
pr10748_57,0,"Danmarks, Radios"
pr10750_58,135,"Santiago, –"
pr10755_58,46,Rugby
pr10755_58,82,Disney
pr10757_58,22,Brugsen
pr10760_58,5,DR
pr10762_58,90,"Harvard, University"
pr10768_59,15,Sl
pr10769_59,20,Ham
pr10770_59,10,forladelse
pr10774_59,24,"Jingle, bells"
pr10774_59,25,Jingle
pr10777_60,52,BBC
pr10779_60,0,"Bethesda, Dam"
pr10780_60,48,Taastrup
pr10781_60,72,Ef
pr10782_60,25,katolske
pr10782_60,41,ak
pr10783_60,86,Testamente
pr10787_60,32,Var
pr10788_60,34,Ham
pr10789_61,33,"”, Ham"
pr10791_64,0,Ham
pr10791_64,9,.
pr10791_64,21,.
pr10791_64,38,.
pr10800_65,9,Ef
pr10802_65,59,sl
pr10802_65,64,Sl
pr10802_65,96,Ham
pr10802_65,100,Ham
pr10805_65,9,eventen
pr10806_65,14,Ap
pr10806_65,29,AP
pr10806_65,41,AP
pr10809_66,36,"Det, Gamle, Testamente"
pr10811_68,10,Vin
pr10813_68,36,Volkswagen
pr10815_71,6,DR
pr10815_71,7,"Kristeligt, Folkeparti"
pr10815_71,7,Radiorådet
pr10823_72,63,Ham
pr10828_74,31,SK
pr10828_74,48,ak
pr10833_77,16,"Københavns, Universitet"
pr10833_77,21,"Københavns, Universitet"
pr10836_77,9,"TV2, News"
pr10840_77,0,DR
pr10840_77,122,DDS
pr10843_77,109,katolske
pr10844_77,67,Romerne
pr10845_77,9,Sl
pr10846_77,3,Berlingske
pr10861_80,1,Grøn
pr10861_80,5,Grøn
pr10861_80,18,Grøn
pr10861_80,22,Grøn
pr10861_80,29,Grøn
pr10863_81,33,Ham
pr10863_81,44,Ham
pr10864_81,2,JESUS
pr10864_81,10,MAN
pr10865_81,2,RyanAir
pr10871_81,28,Ham
pr10872_82,41,"Rolls, Royce"
pr10874_82,33,Beder
pr10874_82,92,Ham
pr10877_82,102,Bartimæus
pr10884_85,0,Bording
pr10884_85,43,Bording
pr10887_85,15,Testamente
pr10891_86,5,"Amnesty, International"
pr10893_87,5,SKAT
pr10893_87,110,Ham
pr10897_87,0,Det
pr10897_87,0,Testamente
pr10899_87,91,Bolighus
pr10900_87,55,Omega
pr10901_87,74,Kristen
pr10901_87,76,"”, Kristen"
pr10901_87,116,Ham
pr10902_88,20,Ham
pr10902_88,24,Ham
pr10902_88,24,Ham
pr10902_88,63,Hellige
pr10903_88,14,Ham
pr10903_88,17,Ham
pr10903_88,89,Ham
pr10904_88,8,lotto
pr10904_88,9,lotto
pr10904_88,47,Ham
pr10904_88,55,Ham
pr10904_88,56,Ham
pr10904_88,61,Ham
pr10904_88,62,Ham
pr10904_88,90,Ham
pr10904_88,96,Ham
pr10907_89,37,TV
pr10908_89,41,Ham
pr10908_89,69,gymnasie
pr10917_92,1,Københavns
pr10920_92,6,rigsdagen
pr10920_92,11,rigsdagen
pr10921_92,46,Ham
pr10945_92,20,Gammel
pr10949_92,36,HC
pr10955_92,3,Påske
pr10956_92,7,"Københavns, Universitet"
pr10957_92,1,Hesselager
pr10957_92,2,Hesselager
pr10966_92,2,EU
pr10969_92,12,MIT
pr10974_92,26,Luthers
pr10978_93,38,Aarhus
pr10982_93,16,Det
pr10982_93,54,Rank
pr10983_93,19,Israels
pr10984_93,22,Noas
pr10989_93,30,Ham
pr10989_93,40,Ham
pr10989_93,46,Ham
pr10989_93,53,Ham
pr10991_93,8,"Den, Hellige"
pr10992_93,25,forladelse
pr10999_94,0,GT
pr11000_94,4,"Aston, Martin, DB"
pr11000_94,7,Aston
pr11000_94,40,Aston
pr11000_94,45,statoil
pr11000_94,46,GT
pr1001_26,1,"DR, TV"
pr1001_26,9,"teatergruppen, Solvognen"
pr1001_26,53,Magasin
pr1002_26,4,blæsten
pr1004_26,4,blæsten
pr1013_26,188,Ubuntu
pr1014_26,5,Søfartsmuseet
pr1016_26,29,France
pr1016_26,36,"Den, Danske, Bank"
pr1019_26,58,særklasse
pr1020_26,51,"Kristeligt, Dagblad"
pr1020_26,58,DR1
pr1020_26,65,DR1
pr1021_26,7,Det
pr1023_26,54,Testamente
pr1028_26,129,Ham
pr1030_26,85,Ham
pr1032_26,109,Ham
pr1032_26,110,Ham
pr1032_26,111,Ham
pr1032_26,162,Folkekirkens
pr1034_26,1,Weekendavisen
pr1034_26,8,"World, Trade"
pr1034_26,50,Ham
pr1036_26,131,Ham
pr1037_26,4,særklasse
pr1040_26,46,"Herning, Stadion"
pr1040_26,48,Facebook
pr1041_26,19,Testamente
pr1041_26,46,Røde
pr1041_26,54,Testamente
pr1041_26,54,Testamente
pr1042_26,68,Ham
pr1043_26,113,Ham
pr1044_26,27,svovlede
pr1048_26,16,Oregon
pr1048_26,56,Ham
pr1049_26,2,"Kristeligt, Dagblad"
pr1049_26,45,Ham
pr1051_26,67,Ham
pr1055_26,23,Gran
pr1055_26,28,Ford
pr1055_26,32,Koreakrigen
pr1055_26,33,Ford
pr1055_26,34,Gran
pr1055_26,45,Gran
pr1055_26,86,Koreakrigen
pr1055_26,108,Koreakrigen
pr1057_26,18,Gran
pr1057_26,23,Ford
pr1057_26,27,Koreakrigen
pr1057_26,28,Ford
pr1057_26,29,Gran
pr1057_26,40,Gran
pr1057_26,81,Koreakrigen
pr1057_26,103,Koreakrigen
pr1058_26,1,seminarium
pr1058_26,1,"University, College, Syddanmark"
pr1058_26,75,"Ruslands, præsident"
pr1059_26,1,"Esbjerg, seminarium, –"
pr1059_26,1,"University, College, Syddanmark"
pr1059_26,16,Testamente
pr1060_26,59,"Champions, League"
pr1060_26,60,"Champions, League"
pr1060_26,60,"Atletico, Madrid"
pr1060_26,60,"Real, Madrid"
pr1060_26,70,"Atletico, Madrid"
pr1060_26,71,"Real, Madrid"
pr1062_26,59,Børnerådet
pr1062_26,73,Børnerådet
pr1063_26,61,Ham
pr1063_26,62,Ham
pr1070_26,4,EU
pr1071_26,84,Ham
pr1074_26,1,"Kristeligt, Dagblad"
pr1074_26,1,Ny
pr1074_26,1,"Københavns, Universitet"
pr1076_26,1,JydskeVestkysten
pr1076_26,55,"Frelsens, Hær"
pr1079_26,23,"Boston, Marathon"
pr1081_26,4,Facebook
pr1081_26,24,TV2
pr1083_26,37,Wimbledon
pr1083_26,37,"Post, Danmark"
pr1083_26,37,De
pr1083_26,37,Lege
pr1085_26,20,Ham
pr1085_26,33,Ham
pr1086_26,1,Blue
pr1086_26,4,Blue
pr1086_26,48,Wimbledon
pr1086_26,48,"Post, Danmark"
pr1087_26,78,Ham
pr1097_26,5,blæsten
pr1098_26,37,Lotto
pr1098_26,37,Toyota
pr1103_26,32,Facebook
pr1106_26,4,Ikea
pr1108_26,5,co
pr1108_26,96,"Kristeligt, Dagblad"
pr1109_26,17,Testamente
pr1109_26,24,Testamente
pr1109_26,93,Testamente
pr1109_26,95,Testamente
pr1112_26,88,Selskab
pr1113_26,1,"Radio, 24syv"
pr1113_26,69,romerske
pr1113_26,126,Tuborg
pr1113_26,132,Matthæusevangeliet
pr1115_26,67,Ham
pr1118_26,1,Halloween
pr1118_26,19,katolske
pr1118_26,26,Halloween
pr1118_26,38,Halloween
pr1118_26,152,Halloween
pr1119_26,8,Aftenshowet
pr1120_26,14,"Blue, Water, Arena"
pr1120_26,20,EfB
pr1120_26,22,"FC, København"
pr1120_26,74,EfB
pr1120_26,74,"FC, København"
pr1121_26,3,DR1
pr1123_26,5,Politiken
pr1123_26,68,Testamente
pr1123_26,88,JydskeVestkysten
pr1131_26,42,Jedi
pr1136_26,33,katolske
pr1137_26,32,katolske
pr1138_26,67,evangelist
pr1139_26,1,Kvindernes
pr1140_26,0,Kvindernes
pr1141_26,46,Ham
pr1142_26,96,TV2
pr1145_26,3,"Kristeligt, Dagblad"
pr1146_26,7,Testamente
pr1146_26,86,Pet
pr1147_26,11,Krøniken
pr1149_26,15,Ramasjang
pr1149_26,66,Ham
pr1149_26,104,–
pr1151_26,114,Børnerådet
pr1151_26,128,Børnerådet
pr1152_26,22,P3
pr1152_26,46,Forest
pr1152_26,131,Påske
pr1153_26,69,Testamente
pr1155_26,6,Testamente
pr1156_26,1,"Real, Monsters"
pr1156_26,3,"Real, Monsters"
pr1157_26,8,Testamente
pr1159_26,20,"Indre, Missions"
pr1161_26,54,Testamente
pr1164_26,98,"Ekstra, Bladet"
pr1164_26,112,hvedekorn
pr1164_26,112,hvedekorn
pr1164_26,142,"–, Ham"
pr1169_26,7,Rigshospitalet
pr1171_27,1,DDS
pr1171_27,113,DDS
pr1174_27,56,Det
pr1174_27,92,Det
pr1178_27,10,Weekendavisen
pr1178_27,14,radioavisen
pr1178_27,14,P1
pr1178_27,15,Skype
pr1178_27,77,"Det, Gamle, Testamente"
pr1182_27,10,Testamente
pr1184_27,52,Sl
pr1184_27,70,Sl
pr1184_27,77,Sl
pr1186_27,40,"Det, Gamle, Testamente"
pr1186_27,55,Det
pr1186_27,55,Testamente
pr1194_27,46,Ham
pr1197_27,100,Det
pr1199_27,19,"Århus, kunstmuseum"
pr1201_27,78,Testamente
pr1202_27,80,DDS
pr1203_27,52,"Gamle, Testamente"
pr1203_27,61,Testamente
pr1204_27,10,Ham
pr1204_27,82,TV
pr1209_27,56,Google
pr1210_27,91,DDS
pr1211_27,52,"Empire, State, Building"
pr1211_27,75,"Det, Gamle, Testamente"
pr1214_27,50,Liv
pr1214_27,90,Liv
pr1216_27,90,DDS
pr1217_27,63,DDS
pr1218_27,69,Gamle
pr1220_27,17,Ham
pr1220_27,18,Ham
pr1220_27,71,Ham
pr1220_27,74,Ham
pr1221_27,89,DDS
pr1222_27,95,Ham
pr1224_27,110,DDS
pr1225_27,8,Disney
pr1226_27,10,Folketinget
pr1227_27,50,Ham
pr1229_27,30,TV
pr1230_27,24,TV2
pr1230_27,92,overvældes
pr1231_27,70,Tokio
pr1234_27,39,Det
pr1237_27,61,Politiken
pr1238_27,4,"Statens, Museum"
pr1238_27,75,Ham
pr1241_27,27,Det
pr1242_27,93,Ham
pr1243_27,5,Det
pr1243_27,5,Testamente
pr1245_27,13,TV
pr1249_27,2,kapel
pr1253_28,31,"Foot, ”, ."
pr1253_28,32,Monsters
pr1253_28,38,"Foot, ”, ."
pr1253_28,55,”
pr1253_28,56,"Real, Monsters, ”"
pr1255_28,2,Hær
pr1255_28,5,"Dagbladet, Information"
pr1256_28,44,Amnesty
pr1257_28,57,Ham
pr1258_28,30,Ham
pr1259_28,31,Factory
pr1264_28,12,Ham
pr1265_28,59,Ham
pr1269_28,2,"pines, …"
pr1269_28,35,Kong
pr1271_28,23,GT
pr1271_28,37,pines
pr1285_28,3,GT
pr1285_28,6,Sl
pr1290_28,6,"Kristeligt, Dagblad"
pr1290_28,48,Farc
pr1291_28,10,barnsben
pr1292_28,31,folketinget
pr1292_28,55,Ham
pr1293_28,25,Røde
pr1294_28,2,GT
pr1294_28,87,Danmarks
pr1296_28,29,Ham
pr1302_28,84,Ham
pr1303_28,24,TV
pr1304_28,32,"Viborg, Katedralskole, –"
pr1310_28,33,bellis
pr1314_28,16,"dagbladet, Information"
pr1314_28,18,KL
pr1314_28,23,TV
pr1314_28,36,KL
pr1314_28,41,KL
pr1317_28,27,Ham
pr1319_28,47,Islamisk
pr1319_28,49,Islamisk
pr1319_28,51,Islamisk
pr1319_28,62,Folkekirkens
pr1320_28,19,ak
pr1322_28,10,"Det, Gamle, Testamente"
pr1322_28,11,Det
pr1328_28,71,Blæsten
pr1330_28,40,evangelist
pr1330_28,40,Information
pr1330_28,69,Børnerådet
pr1331_28,50,splinter
pr1333_28,3,co
pr1334_28,36,Ham
pr1336_28,12,Lk
pr1336_28,17,"Viborg, Katedralskole"
pr1336_28,21,Ungdom
pr1336_28,31,Ham
pr1336_28,39,Night
pr1343_29,9,Ham
pr1343_29,10,Ham
